product_id,category,price,brand,avg_rating
2059,Sports,163.11,"Pitts, Whitaker and Jackson",3.5
2060,Electronics,612.17,"Pitts, Whitaker and Jackson",4.0
2061,Health,139.68,Young-Richards,3.1
2062,Sports,752.62,"Powers, Henry and Mitchell",3.8
2063,Electronics,658.67,"Anderson, Soto and Dixon",4.7
2064,Sports,956.83,"Turner, Davis and Obrien",2.5
2065,Health,73.61,Jones-Nolan,3.8
2066,Food,61.77,"Cunningham, Bennett and Abbott",2.9
2067,Clothing,285.78,Pruitt Group,3.7
2068,Clothing,265.4,White LLC,4.1
2069,Books,250.74,"Cook, Williams and Reynolds",1.2
2070,Home & Kitchen,906.72,White LLC,3.6
2071,Books,253.3,Donaldson-Jones,1.9
2072,Toys,275.59,Young-Richards,3.7
2073,Electronics,760.6,Wilson-Pacheco,2.9
2074,Sports,452.49,Hardy Inc,4.1
2075,Home & Kitchen,777.83,"Turner, Davis and Obrien",1.5
2076,Health,70.04,Hess-Mullins,3.5
2077,Toys,490.13,"Cook, Williams and Reynolds",2.1
2078,Health,38.45,"Anderson, Soto and Dixon",4.4
2079,Clothing,67.34,Pruitt Group,4.7
2080,Clothing,906.91,"Turner, Davis and Obrien",5.0
2081,Books,143.55,Franco and Sons,4.2
2082,Electronics,534.76,"Mullen, Gilbert and Lewis",4.0
2083,Home & Kitchen,414.04,Cooper PLC,1.9
2084,Automotive,350.61,Hall LLC,2.3
2085,Toys,900.33,Hess-Mullins,2.9
2086,Toys,26.71,Pruitt Group,4.1
2087,Books,665.47,Salinas LLC,4.7
2088,Clothing,963.58,Boyd PLC,1.8
2089,Books,562.37,"Cunningham, Bennett and Abbott",4.7
2090,Sports,937.14,"Turner, Davis and Obrien",3.8
2091,Home & Kitchen,57.0,Duarte PLC,3.4
2092,Electronics,421.7,Hall LLC,1.8
2093,Food,263.86,Jones-Nolan,1.2
2094,Beauty,732.17,Mcdaniel Group,3.3
2095,Beauty,981.39,Ramirez and Sons,3.6
2096,Books,260.25,"Coleman, Mason and Smith",1.8
2097,Sports,655.9,Vasquez-Gomez,3.2
2098,Home & Kitchen,202.11,Young-Richards,4.4
2099,Automotive,567.5,"Figueroa, Armstrong and Rodriguez",4.3
2100,Beauty,466.61,Griffin-Chase,4.7
2101,Home & Kitchen,972.15,"Edwards, Robinson and Shannon",2.5
2102,Electronics,610.48,Chapman Ltd,2.3
2103,Health,352.76,Taylor-Hughes,4.0
2104,Sports,118.53,Roberts and Sons,2.7
2105,Clothing,155.49,Chase-Nguyen,1.4
2106,Home & Kitchen,229.19,White LLC,2.1
2107,Electronics,254.71,"Blankenship, Russo and Walker",2.7
2108,Automotive,851.36,"Beck, Cuevas and Navarro",2.2
2109,Food,563.42,Hall LLC,2.3
2110,Clothing,525.77,"Turner, Davis and Obrien",2.2
2111,Food,119.2,"Powers, Henry and Mitchell",1.2
2112,Automotive,860.84,Hall LLC,3.5
2113,Electronics,724.2,Roberts and Sons,3.4
2114,Beauty,72.33,"Cook, Williams and Reynolds",3.6
2115,Food,709.3,"Anderson, Soto and Dixon",1.8
2116,Clothing,545.82,Duarte PLC,2.2
2117,Books,86.32,Scott-Brown,3.5
2118,Toys,461.01,"Mullen, Gilbert and Lewis",3.4
2119,Home & Kitchen,487.27,Cooper PLC,3.0
2120,Beauty,169.95,Duarte PLC,2.4
2121,Food,945.97,"Livingston, Jones and Arnold",4.7
2122,Health,850.73,Hess-Mullins,2.4
2123,Home & Kitchen,670.68,"Cook, Williams and Reynolds",2.8
2124,Books,464.98,"Mullen, Gilbert and Lewis",3.7
2125,Automotive,414.71,Pena Ltd,3.2
2126,Toys,652.72,White LLC,2.4
2127,Electronics,547.7,"Mullen, Gilbert and Lewis",2.7
2128,Books,66.96,"Cook, Williams and Reynolds",4.2
2129,Books,514.94,"Beck, Cuevas and Navarro",2.1
2130,Automotive,807.37,Boyd PLC,1.6
2131,Sports,461.94,Lee Inc,2.3
2132,Automotive,56.7,"Turner, Davis and Obrien",4.4
2133,Sports,787.35,Chapman Ltd,1.4
2134,Sports,205.36,"Mullen, Gilbert and Lewis",5.0
2135,Beauty,262.33,"Edwards, Robinson and Shannon",3.2
2136,Beauty,168.88,"Shields, Thompson and Brown",4.9
2137,Clothing,333.56,Becker-Cabrera,4.8
2138,Food,757.97,Holmes-Madden,2.8
2139,Food,521.79,Young-Richards,1.8
2140,Electronics,208.86,"Cook, Williams and Reynolds",1.7
2141,Food,878.44,Salinas LLC,2.0
2142,Beauty,880.18,"Coleman, Mason and Smith",3.8
2143,Clothing,871.23,Chase-Nguyen,2.1
2144,Clothing,242.6,"Mccormick, Boone and Hubbard",2.4
2145,Sports,453.98,Griffin-Chase,2.8
2146,Automotive,985.06,White LLC,4.7
2147,Electronics,773.15,Griffin-Chase,1.8
2148,Sports,32.03,"Turner, Davis and Obrien",1.0
2149,Automotive,69.88,Hardy Inc,1.2
2150,Food,466.61,"Coleman, Mason and Smith",4.6
2151,Sports,909.67,Hardy Inc,3.6
2152,Home & Kitchen,541.01,Wilson-Pacheco,2.1
2153,Food,500.32,"Powers, Henry and Mitchell",1.7
2154,Automotive,109.95,Mcdaniel Group,2.2
2155,Electronics,658.5,Lee Inc,1.5
2156,Automotive,822.99,Roberts and Sons,4.8
2157,Sports,383.52,Villarreal Ltd,4.1
2158,Sports,776.73,Hardy Inc,2.8
2159,Books,964.65,Mcdaniel Group,4.5
2160,Electronics,207.75,"Livingston, Jones and Arnold",2.0
2161,Health,525.71,"Edwards, Robinson and Shannon",3.9
2162,Food,290.7,Hess-Mullins,4.4
2163,Clothing,793.89,"Mullen, Gilbert and Lewis",2.4
2164,Electronics,579.71,Pena Ltd,4.0
2165,Clothing,636.41,Lee Inc,2.2
2166,Electronics,798.92,"Mullen, Gilbert and Lewis",2.2
2167,Electronics,398.99,"Powers, Henry and Mitchell",1.4
2168,Automotive,915.51,Villarreal Ltd,2.8
2169,Electronics,535.36,"Coleman, Mason and Smith",3.9
2170,Books,162.17,Lee Inc,4.8
2171,Health,697.42,"Anderson, Soto and Dixon",3.4
2172,Sports,794.3,Cooper PLC,4.5
2173,Toys,320.18,"Anderson, Soto and Dixon",4.3
2174,Clothing,857.89,Duarte PLC,1.7
2175,Sports,906.61,Chase-Nguyen,2.9
2176,Toys,280.52,"Blankenship, Russo and Walker",1.5
2177,Health,983.6,Mcdaniel Group,3.7
2178,Health,145.01,Donaldson-Jones,4.8
2179,Clothing,206.01,Ramirez and Sons,1.5
2180,Clothing,188.3,"Cunningham, Bennett and Abbott",3.9
2181,Health,894.52,Hall LLC,3.5
2182,Toys,656.02,"Edwards, Robinson and Shannon",3.3
2183,Electronics,156.34,Wilson-Pacheco,2.6
2184,Food,443.12,Mcdaniel Group,2.4
2185,Home & Kitchen,617.22,Young-Solomon,1.2
2186,Sports,88.05,Chapman Ltd,1.9
2187,Automotive,883.0,Villarreal Ltd,1.1
2188,Sports,804.59,Jones-Nolan,3.3
2189,Automotive,507.68,Holmes-Madden,1.4
2190,Toys,967.29,Cooper PLC,4.5
2191,Automotive,420.67,Hardy Inc,3.1
2192,Clothing,984.19,Becker-Cabrera,3.8
2193,Food,669.58,Young-Solomon,2.6
2194,Food,636.5,"Coleman, Mason and Smith",3.2
2195,Clothing,170.13,Cooper PLC,4.8
2196,Books,882.52,Lee Inc,1.3
2197,Toys,430.35,"Coleman, Mason and Smith",2.0
2198,Books,166.42,"Figueroa, Armstrong and Rodriguez",4.1
2199,Books,17.54,"Turner, Davis and Obrien",1.4
2200,Sports,561.96,"Coleman, Mason and Smith",1.3
2201,Health,529.76,"Cunningham, Bennett and Abbott",2.4
2202,Sports,720.76,Becker-Cabrera,1.4
2203,Health,890.81,"Edwards, Robinson and Shannon",3.3
2204,Home & Kitchen,84.01,"Shields, Thompson and Brown",1.9
2205,Automotive,732.84,Donaldson-Jones,4.6
2206,Health,191.47,Chapman Ltd,4.1
2207,Clothing,858.89,"Blankenship, Russo and Walker",3.8
2208,Sports,819.97,Hess-Mullins,3.5
2209,Toys,543.09,"Mccormick, Boone and Hubbard",4.5
2210,Automotive,711.69,Cooper PLC,1.9
2211,Home & Kitchen,317.78,Mcdaniel Group,4.5
2212,Health,473.81,York-Barnett,4.2
2213,Home & Kitchen,822.53,"Cook, Williams and Reynolds",4.0
2214,Toys,461.97,"Pitts, Whitaker and Jackson",3.2
2215,Books,361.01,Boyd PLC,2.0
2216,Food,496.74,Hess-Mullins,2.7
2217,Toys,829.11,Lee Inc,4.2
2218,Beauty,338.53,Nelson Ltd,1.1
2219,Toys,177.89,"Edwards, Robinson and Shannon",4.1
2220,Home & Kitchen,713.45,Hardy Inc,2.0
2221,Clothing,826.85,Young-Richards,1.6
2222,Sports,105.13,Franco and Sons,1.5
2223,Clothing,243.67,"Turner, Davis and Obrien",1.1
2224,Home & Kitchen,146.26,Villarreal Ltd,3.1
2225,Sports,351.2,Ramirez and Sons,1.9
2226,Beauty,453.1,Mcdaniel Group,5.0
2227,Food,750.08,"Mccormick, Boone and Hubbard",3.3
2228,Automotive,652.89,Chapman Ltd,1.6
2229,Home & Kitchen,622.82,Boyd PLC,3.8
2230,Health,355.61,King-Wilson,4.6
2231,Home & Kitchen,842.24,Chapman Ltd,4.0
2232,Home & Kitchen,473.93,Nelson Ltd,1.3
2233,Sports,979.21,Donaldson-Jones,4.6
2234,Electronics,635.97,"Shields, Thompson and Brown",4.2
2235,Toys,130.63,Ramirez and Sons,1.6
2236,Electronics,677.8,Valdez Group,1.2
2237,Beauty,328.48,Pena Ltd,3.2
2238,Health,687.9,Franco and Sons,1.6
2239,Food,74.29,"Anderson, Soto and Dixon",4.3
2240,Books,179.01,Valdez Group,2.4
2241,Beauty,856.46,Young-Richards,4.7
2242,Books,231.04,Chase-Nguyen,3.3
2243,Books,837.86,"Anderson, Soto and Dixon",1.7
2244,Food,282.88,York-Barnett,1.6
2245,Clothing,644.67,Nelson Ltd,3.3
2246,Electronics,695.68,"Turner, Davis and Obrien",4.0
2247,Home & Kitchen,515.09,Franco and Sons,4.1
2248,Automotive,308.78,Mcdaniel Group,2.1
2249,Books,216.58,Nelson Ltd,1.8
2250,Health,38.02,York-Barnett,1.1
2251,Beauty,307.43,Valdez Group,3.7
2252,Clothing,654.9,"Miller, Oconnell and Lynch",1.3
2253,Books,938.61,Moreno Group,2.7
2254,Clothing,871.85,"Pitts, Whitaker and Jackson",3.4
2255,Clothing,767.23,"Pitts, Whitaker and Jackson",4.7
2256,Books,789.51,Hess-Mullins,2.2
2257,Sports,666.66,Boyd PLC,2.0
2258,Toys,263.99,Young-Solomon,3.6
2259,Health,907.66,"Livingston, Jones and Arnold",3.5
2260,Home & Kitchen,672.38,Mcdaniel Group,2.3
2261,Home & Kitchen,562.64,"Beck, Cuevas and Navarro",4.7
2262,Health,115.43,Cooper PLC,4.4
2263,Sports,449.82,"Beck, Cuevas and Navarro",1.9
2264,Home & Kitchen,463.06,"Cunningham, Bennett and Abbott",2.0
2265,Clothing,865.24,King-Wilson,3.0
2266,Food,548.91,Ramirez and Sons,4.1
2267,Beauty,383.5,Pena Ltd,1.2
2268,Electronics,976.92,Becker-Cabrera,3.8
2269,Home & Kitchen,115.17,"Mccormick, Boone and Hubbard",3.6
2270,Health,425.44,Young-Richards,1.9
2271,Food,46.81,Hardy Inc,3.7
2272,Books,741.2,York-Barnett,4.8
2273,Toys,918.49,Cooper PLC,1.2
2274,Health,283.64,Villarreal Ltd,2.3
2275,Clothing,859.05,"Turner, Davis and Obrien",2.8
2276,Toys,295.76,Pena Ltd,4.6
2277,Beauty,911.22,"Livingston, Jones and Arnold",4.8
2278,Beauty,755.19,Jones-Nolan,2.8
2279,Sports,805.88,Lee Inc,4.0
2280,Automotive,22.92,Moreno Group,3.1
2281,Sports,963.0,"Beck, Cuevas and Navarro",3.2
2282,Food,728.04,"Coleman, Mason and Smith",2.1
2283,Toys,308.23,Valdez Group,1.9
2284,Automotive,830.25,Pruitt Group,2.2
2285,Books,285.11,Holmes-Madden,3.2
2286,Clothing,873.39,"Anderson, Soto and Dixon",1.1
2287,Toys,117.02,Griffin-Chase,4.6
2288,Sports,705.17,Becker-Cabrera,1.6
2289,Electronics,542.99,"Pitts, Whitaker and Jackson",1.9
2290,Automotive,101.05,Becker-Cabrera,3.1
2291,Automotive,245.68,"Cook, Williams and Reynolds",3.8
2292,Clothing,17.34,"Miller, Oconnell and Lynch",1.4
2293,Home & Kitchen,471.42,"Mullen, Gilbert and Lewis",2.3
2294,Beauty,304.76,Jones-Nolan,4.9
2295,Beauty,600.37,Boyd PLC,2.0
2296,Electronics,300.75,Donaldson-Jones,2.3
2297,Food,303.42,Pruitt Group,4.3
2298,Food,744.48,Scott-Brown,1.2
2299,Books,52.9,"Beck, Cuevas and Navarro",2.9
2300,Toys,903.38,"Blankenship, Russo and Walker",2.5
2301,Health,853.0,"Cook, Williams and Reynolds",2.3
2302,Home & Kitchen,669.47,Scott-Brown,2.1
2303,Sports,595.26,Hall LLC,1.4
2304,Health,892.84,"Powers, Henry and Mitchell",2.3
2305,Health,189.4,"Shields, Thompson and Brown",1.2
2306,Automotive,83.57,Boyd PLC,4.1
2307,Electronics,243.31,Mcdaniel Group,2.6
2308,Beauty,795.61,"Powers, Henry and Mitchell",2.8
2309,Books,39.5,Young-Solomon,4.6
2310,Food,584.89,"Turner, Davis and Obrien",3.6
2311,Electronics,995.46,Nelson Ltd,1.0
2312,Automotive,856.42,Salinas LLC,4.8
2313,Sports,523.84,"Miller, Oconnell and Lynch",1.9
2314,Books,68.32,"Blankenship, Russo and Walker",1.4
2315,Automotive,832.22,Mcdaniel Group,4.1
2316,Beauty,600.98,Young-Solomon,3.0
2317,Beauty,119.36,Franco and Sons,2.7
2318,Beauty,98.39,Cooper PLC,2.0
2319,Electronics,910.08,"Miller, Oconnell and Lynch",3.2
2320,Electronics,670.85,Roberts and Sons,2.1
2321,Food,830.14,"Miller, Oconnell and Lynch",4.6
2322,Food,879.58,Moreno Group,1.9
2323,Sports,573.91,"Livingston, Jones and Arnold",4.5
2324,Books,519.86,York-Barnett,3.2
2325,Clothing,433.28,Hess-Mullins,4.3
2326,Clothing,320.36,Jones-Nolan,3.9
2327,Automotive,437.42,Ramirez and Sons,3.8
2328,Beauty,775.01,Holmes-Madden,2.3
2329,Books,603.91,"Anderson, Soto and Dixon",1.9
2330,Health,893.06,Pena Ltd,1.8
2331,Electronics,446.16,"Cook, Williams and Reynolds",4.4
2332,Toys,609.05,Taylor-Hughes,4.3
2333,Home & Kitchen,633.15,York-Barnett,2.8
2334,Sports,593.74,"Powers, Henry and Mitchell",1.5
2335,Beauty,704.12,King-Wilson,2.5
2336,Beauty,241.25,"Edwards, Robinson and Shannon",3.5
2337,Beauty,514.8,Jones-Nolan,2.8
2338,Electronics,108.7,Young-Solomon,4.1
2339,Electronics,387.59,Pruitt Group,5.0
2340,Home & Kitchen,490.23,Nelson Ltd,1.8
2341,Health,653.96,"Beck, Cuevas and Navarro",2.8
2342,Books,950.78,Jones-Nolan,2.7
2343,Beauty,602.65,Taylor-Hughes,2.2
2344,Clothing,744.88,"Mccormick, Boone and Hubbard",1.8
2345,Food,508.73,Pena Ltd,1.3
2346,Clothing,635.93,"Powers, Henry and Mitchell",4.5
2347,Automotive,75.58,Donaldson-Jones,2.7
2348,Clothing,258.12,Chapman Ltd,3.0
2349,Automotive,365.04,Scott-Brown,4.7
2350,Toys,475.13,Salinas LLC,4.1
2351,Food,50.42,Young-Richards,1.5
2352,Clothing,144.32,Chapman Ltd,3.3
2353,Toys,280.43,Chase-Nguyen,2.8
2354,Sports,971.68,Jones-Nolan,4.2
2355,Books,334.69,Wilson-Pacheco,3.9
2356,Toys,484.63,Young-Richards,3.8
2357,Books,200.12,Pena Ltd,2.4
2358,Clothing,612.73,"Mccormick, Boone and Hubbard",4.2
2359,Health,284.28,Franco and Sons,1.2
2360,Toys,210.96,"Blankenship, Russo and Walker",1.6
2361,Food,518.99,White LLC,2.3
2362,Clothing,10.48,Young-Solomon,1.3
2363,Beauty,12.63,"Beck, Cuevas and Navarro",1.9
2364,Electronics,222.97,Franco and Sons,4.3
2365,Toys,41.54,Young-Solomon,4.8
2366,Food,112.49,Young-Solomon,2.2
2367,Sports,342.17,King-Wilson,2.1
2368,Beauty,803.57,Boyd PLC,2.1
2369,Sports,574.19,Hardy Inc,2.1
2370,Clothing,515.1,"Mullen, Gilbert and Lewis",1.1
2371,Electronics,297.02,"Anderson, Soto and Dixon",4.7
2372,Toys,932.09,Mcdaniel Group,1.9
2373,Toys,400.03,Pena Ltd,2.7
2374,Health,91.66,King-Wilson,1.0
2375,Health,618.98,"Beck, Cuevas and Navarro",4.4
2376,Clothing,118.27,Chase-Nguyen,3.9
2377,Clothing,348.5,"Blankenship, Russo and Walker",4.8
2378,Electronics,509.87,Valdez Group,4.1
2379,Health,874.85,Becker-Cabrera,2.3
2380,Food,496.08,"Coleman, Mason and Smith",2.0
2381,Food,703.75,"Turner, Davis and Obrien",3.8
2382,Electronics,992.85,"Cunningham, Bennett and Abbott",2.5
2383,Food,135.83,Young-Richards,3.3
2384,Automotive,278.36,"Mullen, Gilbert and Lewis",1.0
2385,Books,397.6,Franco and Sons,1.2
2386,Electronics,424.72,Young-Richards,3.1
2387,Electronics,413.97,Duarte PLC,3.3
2388,Home & Kitchen,908.07,Cooper PLC,4.0
2389,Beauty,715.46,Moreno Group,1.5
2390,Beauty,609.87,Griffin-Chase,3.1
2391,Automotive,312.83,Ramirez and Sons,1.8
2392,Health,824.67,King-Wilson,1.4
2393,Clothing,955.29,Wilson-Pacheco,2.6
2394,Clothing,822.09,Ramirez and Sons,1.7
2395,Sports,6.56,Valdez Group,1.9
2396,Automotive,638.22,"Miller, Oconnell and Lynch",2.3
2397,Electronics,55.88,"Pitts, Whitaker and Jackson",2.0
2398,Automotive,261.32,"Pitts, Whitaker and Jackson",1.4
2399,Automotive,64.23,"Mullen, Gilbert and Lewis",1.4
2400,Automotive,605.78,Nelson Ltd,1.8
2401,Beauty,688.16,"Miller, Oconnell and Lynch",1.2
2402,Automotive,118.92,Moreno Group,3.5
2403,Books,386.92,"Anderson, Soto and Dixon",2.1
2404,Clothing,458.96,Moreno Group,2.1
2405,Sports,372.21,Holmes-Madden,2.3
2406,Books,125.42,Hall LLC,3.7
2407,Sports,421.85,"Cook, Williams and Reynolds",4.5
2408,Home & Kitchen,752.42,"Anderson, Soto and Dixon",4.0
2409,Sports,75.65,King-Wilson,3.9
2410,Clothing,84.78,York-Barnett,2.9
2411,Clothing,358.0,Hess-Mullins,3.8
2412,Automotive,942.02,Valdez Group,3.2
2413,Toys,670.23,"Cunningham, Bennett and Abbott",1.9
2414,Home & Kitchen,680.28,Holmes-Madden,1.8
2415,Electronics,365.11,Chapman Ltd,2.2
2416,Food,595.69,Lee Inc,4.6
2417,Sports,15.08,"Mullen, Gilbert and Lewis",3.2
2418,Toys,637.92,Moreno Group,3.9
2419,Automotive,913.72,Griffin-Chase,2.4
2420,Beauty,614.51,"Livingston, Jones and Arnold",2.6
2421,Electronics,874.33,Duarte PLC,1.5
2422,Health,725.35,Griffin-Chase,1.7
2423,Toys,124.96,Hall LLC,4.3
2424,Beauty,902.94,"Blankenship, Russo and Walker",3.3
2425,Home & Kitchen,71.11,"Shields, Thompson and Brown",2.4
2426,Automotive,536.3,Chapman Ltd,4.2
2427,Electronics,146.43,York-Barnett,2.0
2428,Electronics,16.65,Hardy Inc,4.9
2429,Electronics,424.92,Becker-Cabrera,2.4
2430,Home & Kitchen,298.57,Taylor-Hughes,2.3
2431,Sports,488.57,Griffin-Chase,2.2
2432,Health,579.31,Salinas LLC,1.5
2433,Home & Kitchen,48.52,"Pitts, Whitaker and Jackson",1.4
2434,Food,127.39,"Miller, Oconnell and Lynch",3.6
2435,Health,560.85,Becker-Cabrera,4.5
2436,Clothing,346.45,Boyd PLC,4.2
2437,Automotive,730.53,Griffin-Chase,1.6
2438,Home & Kitchen,654.03,Valdez Group,3.2
2439,Beauty,846.38,"Livingston, Jones and Arnold",1.4
2440,Health,694.03,Pruitt Group,1.2
2441,Food,432.78,King-Wilson,3.6
2442,Clothing,674.6,"Edwards, Robinson and Shannon",3.1
2443,Sports,279.0,Taylor-Hughes,1.3
2444,Beauty,309.78,Hess-Mullins,1.1
2445,Health,790.04,"Figueroa, Armstrong and Rodriguez",5.0
2446,Automotive,449.19,"Powers, Henry and Mitchell",1.1
2447,Beauty,799.39,"Shields, Thompson and Brown",2.8
2448,Clothing,823.31,Chapman Ltd,3.0
2449,Beauty,858.27,"Cook, Williams and Reynolds",1.5
2450,Books,917.05,"Shields, Thompson and Brown",1.7
2451,Toys,433.83,"Livingston, Jones and Arnold",2.4
2452,Sports,322.27,Jones-Nolan,4.0
2453,Clothing,584.29,"Pitts, Whitaker and Jackson",3.0
2454,Beauty,374.32,Moreno Group,3.6
2455,Toys,603.07,White LLC,4.9
2456,Toys,707.06,Mcdaniel Group,4.1
2457,Beauty,689.96,Becker-Cabrera,2.7
2458,Automotive,377.68,Nelson Ltd,2.8
2459,Books,171.03,Donaldson-Jones,3.5
2460,Home & Kitchen,433.38,York-Barnett,3.7
2461,Books,146.88,Moreno Group,3.0
2462,Beauty,890.65,Pena Ltd,3.6
2463,Sports,349.15,Scott-Brown,1.1
2464,Home & Kitchen,158.69,White LLC,2.7
2465,Clothing,30.32,Holmes-Madden,2.1
2466,Books,647.59,Becker-Cabrera,1.5
2467,Beauty,638.72,"Turner, Davis and Obrien",1.4
2468,Books,343.9,"Mccormick, Boone and Hubbard",3.4
2469,Home & Kitchen,76.35,Pena Ltd,3.1
2470,Food,412.58,Wilson-Pacheco,2.0
2471,Health,314.66,Roberts and Sons,2.9
2472,Books,678.74,Jones-Nolan,3.0
2473,Clothing,607.75,York-Barnett,1.8
2474,Clothing,367.77,Becker-Cabrera,3.6
2475,Electronics,221.8,"Cook, Williams and Reynolds",4.1
2476,Books,988.1,"Cook, Williams and Reynolds",4.2
2477,Health,456.73,"Turner, Davis and Obrien",3.4
2478,Automotive,689.83,"Blankenship, Russo and Walker",3.0
2479,Toys,144.85,Mcdaniel Group,1.2
2480,Health,488.16,Pruitt Group,2.2
2481,Toys,32.4,Becker-Cabrera,1.4
2482,Toys,507.93,Moreno Group,4.9
2483,Food,964.2,Franco and Sons,1.5
2484,Electronics,387.29,Hardy Inc,1.6
2485,Health,43.8,"Beck, Cuevas and Navarro",4.6
2486,Health,35.8,Donaldson-Jones,4.8
2487,Food,391.05,Salinas LLC,4.1
2488,Books,164.22,Franco and Sons,1.0
2489,Books,28.24,Donaldson-Jones,1.0
2490,Books,757.43,Hardy Inc,2.5
2491,Sports,461.23,Boyd PLC,1.6
2492,Toys,292.8,Becker-Cabrera,1.1
2493,Sports,900.58,Salinas LLC,2.9
2494,Electronics,120.56,Boyd PLC,4.8
2495,Food,956.14,"Anderson, Soto and Dixon",2.3
2496,Health,317.4,Hardy Inc,3.6
2497,Toys,888.96,Holmes-Madden,3.6
2498,Sports,604.93,Wilson-Pacheco,2.0
2499,Sports,827.57,Villarreal Ltd,3.6
2500,Beauty,984.09,"Livingston, Jones and Arnold",1.8
2501,Sports,291.96,Chase-Nguyen,1.5
2502,Automotive,961.33,Salinas LLC,3.8
2503,Health,392.53,"Mullen, Gilbert and Lewis",1.5
2504,Automotive,388.58,Villarreal Ltd,5.0
2505,Health,343.69,"Anderson, Soto and Dixon",1.7
2506,Food,543.7,"Blankenship, Russo and Walker",3.4
2507,Health,158.37,Chase-Nguyen,2.6
2508,Automotive,555.94,"Anderson, Soto and Dixon",1.5
2509,Health,544.0,Holmes-Madden,1.1
2510,Food,763.09,Franco and Sons,3.5
2511,Food,834.48,"Anderson, Soto and Dixon",4.2
2512,Electronics,443.24,"Livingston, Jones and Arnold",4.4
2513,Health,305.82,Jones-Nolan,2.9
2514,Beauty,263.04,Ramirez and Sons,4.1
2515,Books,198.65,"Blankenship, Russo and Walker",3.7
2516,Clothing,62.36,"Mccormick, Boone and Hubbard",3.9
2517,Food,345.74,Hardy Inc,3.0
2518,Home & Kitchen,273.9,Jones-Nolan,3.5
2519,Books,966.59,"Pitts, Whitaker and Jackson",4.2
2520,Toys,559.92,Villarreal Ltd,2.6
2521,Health,350.54,Hall LLC,4.2
2522,Automotive,582.57,Ramirez and Sons,3.4
2523,Clothing,143.5,Pena Ltd,1.7
2524,Home & Kitchen,446.82,York-Barnett,1.1
2525,Books,628.1,Franco and Sons,2.5
2526,Health,491.45,Hardy Inc,3.2
2527,Electronics,404.77,Chapman Ltd,4.4
2528,Toys,993.88,Hall LLC,1.5
2529,Clothing,880.91,Lee Inc,4.2
